"year","Blue_whiting","Capelin","Green_halibut","Haddock","Long_rough_dab","Mackerel","North_atl_cod","Norwegian_ssh","Polar_cod","Redfish","Saithe"
116,7650070.66660666,3806462.61736815,904261.553035178,760167.782431108,1611471.768475,5424992.24667669,5610436.01067412,17138.6484188149,4429829.6026275,4298293.33214764,15124708.7619802
117,5832840.36697617,3496478.95230575,763924.143420446,758640.552547727,1716525.04680359,3993676.81948478,5226348.52124313,20581.5288624096,4416137.24989967,3950984.70261729,17746051.7031664
118,7518211.02468393,3567827.90938929,984624.684292284,834216.726270799,1897368.1920307,5091818.81285624,5450524.25495623,29446.3814874098,4768708.39359486,2980931.35482043,14842255.230391
119,5912893.45556698,5590290.30080284,812651.884362645,547999.727680023,1787279.34822807,4775723.75229411,5706072.87187417,41878.3212735422,4243657.47119054,3867637.96371675,17527733.7552826
120,7304126.28366684,6076496.22290297,915080.374151605,684878.775645638,1689817.89987558,4241977.46429003,5584446.98079085,51332.364877232,5291268.80920708,3179238.9685295,15257030.2338894
121,6220915.54903025,4783344.86462001,901201.081276927,647935.682682666,1706399.00825214,5509112.95780607,5442695.35718698,50383.5498723799,4702409.71439074,3911500.03559531,14761545.1362344
122,6681414.67390346,3934932.89523167,1003368.39975927,591872.883877516,1499076.88056037,5087669.18623351,4368160.00419452,66570.9011659366,4739480.46493139,3678517.60917075,15279393.2243837
123,6326864.76864946,6056137.72061331,872778.168734814,627872.666230853,1517605.30673239,4416494.27921626,5869666.38185104,75992.3425494551,5441628.36187799,4870889.71337321,17382965.9265144
124,5786065.65567671,6030707.54571345,767716.52890617,672836.638079101,1651879.6675235,4517493.57076286,6141569.58949748,72518.1849397873,4596129.02514321,3695090.46837632,17154889.133997
125,6942587.35937597,4701978.65851565,737750.158801687,669418.803925074,2012749.71880581,4508880.24167401,5118128.82174441,95885.1577919895,5839297.50432618,4349899.0700525,17715315.3118711
126,6824743.76522763,3930259.35254565,870696.782816206,736603.848159982,1542269.76721944,5288758.58756409,6498407.85456604,93910.7710167409,3593151.69712973,3884257.22412877,17648860.2402933
127,6934927.01966848,4953086.36321627,850088.272792282,827347.544113283,1454113.19809612,4462997.68826705,5221528.34668984,125815.472263447,3877228.66649558,3425928.92313835,14554751.7714839
128,7290114.64591845,4660548.26139277,948234.455029313,881295.062304669,1716531.18477946,4976905.54539921,5118953.23205187,126651.925992205,4333213.2276324,3853774.30758287,18195996.8909744
129,5606467.87499336,3044469.65708322,920536.685739256,824286.045403626,1579873.64182496,4388541.48972484,5903977.00643138,145406.433633401,4562874.5162709,3942175.44203283,16720513.7437612
130,8730923.85872859,3908967.72170839,807334.739369594,779735.72290194,1566107.63969845,4685479.00375932,5438302.92163603,149974.461635152,5247736.11762433,3770657.91994906,16113359.5545395
131,6251607.03934297,4778276.10931147,738709.476489557,769300.580021156,1733700.33003013,5207266.2113502,6045491.71724769,145100.383077824,4918703.4748792,3447954.77586075,16103414.6059184
132,6426847.50615007,3766467.09582759,909377.669985804,672053.638504811,1635878.381106,4810432.46356451,5733485.99873403,149448.48640957,5494866.27359869,3654676.14594415,16847497.1258093
133,7279052.24357684,4078241.86510015,859259.207412085,770276.053691473,1602450.89381404,4517303.61851281,5898302.89896272,150242.626988756,5293620.20632769,3260376.97378651,15556993.9512915
134,7059600.47480611,3943941.65218899,803054.451205782,951196.361129735,1756448.12910026,4276180.34822104,5395745.88923059,177248.337282868,5191891.90710126,3283043.19079648,17000627.4204246
135,6974908.55265414,3613387.25602582,840134.343818493,898661.636722783,1558260.7754097,4468690.6666972,6830040.15636603,182824.572636328,4768220.79530517,3751593.66474764,14741200.1302907
136,5792715.04158872,5983801.75868114,1073969.85207782,941140.252572349,1628813.81836861,4667411.14886305,4304326.24553072,204868.466446765,5189844.41614728,4016200.55676477,17910095.3944555
137,6883275.00062079,5363742.26220248,915162.674652141,1049330.07181088,1775323.45663895,5059507.79469451,5173830.37084111,240947.411545567,4661206.01707298,3024037.08578269,17985253.1236358
138,7089707.68558096,4609881.74568268,831128.447734333,1018674.27233323,1537644.31715718,4730149.50642086,6586567.5117151,234345.684703924,4457869.12334542,3006313.10036498,15875033.6424378
139,7280229.95411248,4737102.97082845,879864.747692531,940093.776170106,1643393.36128831,4922487.09326111,5086829.91898994,292136.51342661,4874075.44069321,3407865.94700779,17867294.5826128
140,6440827.70794206,3930658.53482388,1097304.68878111,1173585.4414038,1495135.83081988,5157855.67414208,5266759.21067027,243401.343383506,4821815.0069439,3861191.18697761,16572965.6437675
141,5615463.68946663,4641951.92803636,889096.509845196,1299761.19439337,1540372.10896452,4464253.41860095,5196181.87016874,260785.137135096,4888038.50833693,3002856.01981343,17543045.7156206
142,5503878.33730038,4251030.67454073,940547.675145027,1183615.38667127,1608957.06587831,5178644.21137002,5032370.66782172,223603.585853047,4311759.61486593,3421485.05928171,20694639.4454658
143,5544078.08904816,5649277.94092903,700527.488933222,1347010.71840938,2036464.31842573,4146255.11733399,5802908.48079121,246482.754471044,4482763.25877043,3357981.43117589,16295558.3311989
144,7249008.27043841,4477778.00345772,834199.537740749,1257502.14078057,1785181.56141547,4150005.66362619,5879050.1367297,262857.417859072,5183990.98437257,3463742.94551969,17482111.3391581
