,Blue_whiting,Capelin,Green_halibut,Haddock,Long_rough_dab,Mackerel,North_atl_cod,Norwegian_ssh,Polar_cod,Redfish,Saithe
2000,5912893.456000,5590290.301000,812651.884400,547999.727700,1787279.348000,4775723.752000,5706072.872000,41878.321270,4243657.471000,3867637.964000,17527733.760000
2001,7304126.284000,6076496.223000,915080.374200,684878.775600,1689817.900000,4241977.464000,5584446.981000,51332.364880,5291268.809000,3179238.969000,15257030.230000
2002,6220915.549000,4783344.865000,901201.081300,647935.682700,1706399.008000,5509112.958000,5442695.357000,50383.549870,4702409.714000,3911500.036000,14761545.140000
2003,6681414.674000,3934932.895000,1003368.400000,591872.883900,1499076.881000,5087669.186000,4368160.004000,66570.901170,4739480.465000,3678517.609000,15279393.220000
2004,6326864.769000,6056137.721000,872778.168700,627872.666200,1517605.307000,4416494.279000,5869666.382000,75992.342550,5441628.362000,4870889.713000,17382965.930000
2005,5786065.656000,6030707.546000,767716.528900,672836.638100,1651879.668000,4517493.571000,6141569.589000,72518.184940,4596129.025000,3695090.468000,17154889.130000
2006,6942587.359000,4701978.659000,737750.158800,669418.803900,2012749.719000,4508880.242000,5118128.822000,95885.157790,5839297.504000,4349899.070000,17715315.310000
2007,6824743.765000,3930259.353000,870696.782800,736603.848200,1542269.767000,5288758.588000,6498407.855000,93910.771020,3593151.697000,3884257.224000,17648860.240000
2008,6934927.020000,4953086.363000,850088.272800,827347.544100,1454113.198000,4462997.688000,5221528.347000,125815.472300,3877228.666000,3425928.923000,14554751.770000
2009,7290114.646000,4660548.261000,948234.455000,881295.062300,1716531.185000,4976905.545000,5118953.232000,126651.926000,4333213.228000,3853774.308000,18195996.890000
2010,5606467.875000,3044469.657000,920536.685700,824286.045400,1579873.642000,4388541.490000,5903977.006000,145406.433600,4562874.516000,3942175.442000,16720513.740000
2011,8730923.859000,3908967.722000,807334.739400,779735.722900,1566107.640000,4685479.004000,5438302.922000,149974.461600,5247736.118000,3770657.920000,16113359.550000
2012,6251607.039000,4778276.109000,738709.476500,769300.580000,1733700.330000,5207266.211000,6045491.717000,145100.383100,4918703.475000,3447954.776000,16103414.610000
2013,6426847.506000,3766467.096000,909377.670000,672053.638500,1635878.381000,4810432.464000,5733485.999000,149448.486400,5494866.274000,3654676.146000,16847497.130000
2014,7279052.244000,4078241.865000,859259.207400,770276.053700,1602450.894000,4517303.619000,5898302.899000,150242.627000,5293620.206000,3260376.974000,15556993.950000
2015,7059600.475000,3943941.652000,803054.451200,951196.361100,1756448.129000,4276180.348000,5395745.889000,177248.337300,5191891.907000,3283043.191000,17000627.420000
2016,6974908.553000,3613387.256000,840134.343800,898661.636700,1558260.775000,4468690.667000,6830040.156000,182824.572600,4768220.795000,3751593.665000,14741200.130000
2017,5792715.042000,5983801.759000,1073969.852000,941140.252600,1628813.818000,4667411.149000,4304326.246000,204868.466400,5189844.416000,4016200.557000,17910095.390000
2018,6883275.001000,5363742.262000,915162.674700,1049330.072000,1775323.457000,5059507.795000,5173830.371000,240947.411500,4661206.017000,3024037.086000,17985253.120000
2019,7089707.686000,4609881.746000,831128.447700,1018674.272000,1537644.317000,4730149.506000,6586567.512000,234345.684700,4457869.123000,3006313.100000,15875033.640000
2020,7280229.954000,4737102.971000,879864.747700,940093.776200,1643393.361000,4922487.093000,5086829.919000,292136.513400,4874075.441000,3407865.947000,17867294.580000
2021,6440827.708000,3930658.535000,1097304.689000,1173585.441000,1495135.831000,5157855.674000,5266759.211000,243401.343400,4821815.007000,3861191.187000,16572965.640000
2022,5615463.689000,4641951.928000,889096.509800,1299761.194000,1540372.109000,4464253.419000,5196181.870000,260785.137100,4888038.508000,3002856.020000,17543045.720000
2023,5503878.337000,4251030.675000,940547.675100,1183615.387000,1608957.066000,5178644.211000,5032370.668000,223603.585900,4311759.615000,3421485.059000,20694639.450000
2024,5544078.089000,5649277.941000,700527.488900,1347010.718000,2036464.318000,4146255.117000,5802908.481000,246482.754500,4482763.259000,3357981.431000,16295558.330000
